UC Major																																																						
Linguistics and Anthropology/B.A.		No course Articulated																																																				
Linguistics Asian Languages and Cultures/B.A.		No course Articulated																																																				
Linguistics and Computer Science/B.A.		No course Articulated																																																				
Linguistics and English/B.A.		No course Articulated																																																				
Linguistics and French/B.A.		No course Articulated																																																				
Linguistics and Italian/B.A.		No course Articulated																																																				
Linguistics and Philosophy/B.A.		No course Articulated																																																				
Linguistics and Psychology/B.A.		Psych101		Comsc200																																																		
Linguistics and Scandinavian Languages/B.A.		No course Articulated																																																				
Linguistics and Spanish/B.A.		No course Articulated																																																				
Linguistics/B.A.		Anthr130		Psych101																																																		
Marine Biology/B.S.		Biosc130		Biosc131		Chem120		Chem121		Bus240		Math142		Math144		Math192			Math193		Phys120			Phys124		Phys121		Phys125		Phys130		Phys230		Phys231		Chem226		Chem227																
Materials engineering/B.S.		Chem120		Chem121		math192		Math193		Math292		Math194		Math294		Phys130			Phys230		Phys231			Engl122		Engl123		Engl126		Comm121		Hist122		Philo130		Psych145		Socio122		Comsc110		Comsc165		Comsc200		Engin136		Engin257		Engin230				
Mathematics for Teaching/B.S.		Math192		Math193		Math292		Math194		Math294		Math195		Phys130		Phys120			Phys124		Comsc200			Chem120		Chem121		Phys230		Phys231		Phys121		Phys125		Comsc255		Comsc256		Comsc260		Comsc210												
Mathematics for Computation/B.S.		Math192		Math193		Math292		Math194		Math294		Math195		Phys130		Phys230			Comsc200		Chem120			Chem121		Phys231																												
Mathematics/Applied Science/B.S.		Math192		Math193		Math292		Math194		Math294		Comsc200		Anthr120		Chem120			Chem121		Chem226			Biosc130		Phys130		Phys230																										
Mathematics/B.S.		Math192		Math193		Math292		Math194		Math294		Comsc200		Chem120		Chem121			Phys121		Phys125			Phys230		Phys231		Biosc131																										
Mathematics/Economics/B.S.		Math192		Math193		Math292		Math194		Math195		Comsc200		Econ221		Econ220			Engl123		Engl126			Hist122		Philo130		Socio122		Comm121																								
Mechanical Engineering/B.S.		Chem120		Chem121		Math192		Math193		Math292		Math194		Phys130		Phys230			Phys231		Engl122			Engl123		Engl126		Comm121		Hist122		Philo130		Psych145		Socio122		Comsc110		Comsc165		Comsc200		Engin136		Engin120		Engin230		Engin257				
